Family_No,g_score,gf_score,gc_score,g_score_family,gf_score_family,gc_score_family,Age,Gender,Handedness,FD_mean,Spikes_mean
229,-2.37967963845675,-2.0746703864417,-1.63080980204528,-2.37967963845675,-2.0746703864417,-1.63080980204528,35,1,-55,0.0964803266744651,0.388888888888889
379,-2.36329985027462,-1.75500578249328,-1.76396290325471,-2.36329985027462,-1.75500578249328,-1.76396290325471,32,1,-100,0.0797227773766061,3.5
58,-2.02281015582041,-1.89242351230431,-1.01153452426474,-2.02281015582041,-1.89242351230431,-1.01153452426474,35,0,80,0.0643091014076185,1.33333333333333
353,-1.85057818972951,-1.29753997228325,-1.16813738311747,-1.85057818972951,-1.29753997228325,-1.16813738311747,32,0,100,0.0823255967629387,2.94444444444444
272,-1.62220638793127,-0.255482874233439,-1.76318933398864,-1.8426061724349,-0.995567218105915,-1.59509648952687,22,0,70,0.111317425792178,0.222222222222222
272,-1.90330327288212,-1.09978940606216,-1.87418125194455,-1.8426061724349,-0.995567218105915,-1.59509648952687,30,0,90,0.0529451371431141,8.66666666666667
272,-1.98125115891195,-1.28206330815857,-0.840658217734915,-1.8426061724349,-0.995567218105915,-1.59509648952687,28,0,-45,0.10053783525691,4.5
272,-1.86366387001426,-1.34493328396949,-1.90235715443938,-1.8426061724349,-0.995567218105915,-1.59509648952687,35,1,70,0.100172320087347,18.2777777777778
280,-1.62311687967978,-1.54033400840747,-1.34177071044931,-1.62311687967978,-1.54033400840747,-1.34177071044931,27,0,100,0.0715555673599469,0.5
208,-1.53176740713623,-1.14892929228538,-1.12965170713796,-1.53176740713623,-1.14892929228538,-1.12965170713796,34,0,85,0.0804751870144399,9.22222222222222
116,-0.744109846942171,-0.635296221987573,-1.13888362580874,-1.44241271103062,-1.24805654180858,-1.63415812961684,22,0,40,0.0810733084339846,6.11111111111111
116,-2.14071557511906,-1.86081686162958,-2.12943263342494,-1.44241271103062,-1.24805654180858,-1.63415812961684,24,0,100,0.104491992545952,0.388888888888889
383,-1.43159423906593,-0.874633472308469,-0.473927570403956,-1.43159423906593,-0.874633472308469,-0.473927570403956,29,0,100,0.0983583161207683,4.27777777777778
54,-1.83493143012653,-1.47415158660891,-2.15514409660397,-1.41930161936812,-0.648819325230176,-1.46951571185125,22,1,100,0.0955218922331758,5.11111111111111
54,-1.67431520854794,-0.336296410019506,-1.63353189963157,-1.41930161936812,-0.648819325230176,-1.46951571185125,27,0,80,0.110806855080108,2
54,-1.36948443319499,-0.507716523244435,-1.26430186469204,-1.41930161936812,-0.648819325230176,-1.46951571185125,26,1,70,0.107959444440757,21.7777777777778
54,-0.79847540560302,-0.277112781047853,-0.825084986477415,-1.41930161936812,-0.648819325230176,-1.46951571185125,28,1,100,0.0996215662573579,1.66666666666667
77,-1.64990541888224,-0.714763116965991,-0.727879256298051,-1.38996761571326,-0.707282738296897,-0.648197858155746,32,1,90,0.145209605023608,0.333333333333333
77,-1.74946279385282,-1.65181413248006,-0.358493745033936,-1.38996761571326,-0.707282738296897,-0.648197858155746,24,1,55,0.0787910642179179,0
77,-0.770534634404713,0.244729034555361,-0.858220573135252,-1.38996761571326,-0.707282738296897,-0.648197858155746,32,1,-65,0.0544683218302422,2.55555555555556
377,-1.30723296791924,-1.14705098003151,-1.233407981749,-1.30723296791924,-1.14705098003151,-1.233407981749,29,0,90,0.0694093658056451,5.38888888888889
234,-1.28116343492397,-1.27517811135359,-0.753785143347752,-1.28116343492397,-1.27517811135359,-0.753785143347752,27,1,80,0.10087572440739,0.555555555555556
68,-1.17296782881739,-1.80879981377468,-0.383045515206198,-1.17296782881739,-1.80879981377468,-0.383045515206198,23,0,35,0.0605582990693243,6.16666666666667
194,-0.336145418105022,-0.289961049131316,-0.182839812649115,-1.12943194876647,-0.784296352611493,-0.579734977915185,27,0,100,0.0616542776643407,4.22222222222222
194,-1.92271847942791,-1.27863165609167,-0.976630143181256,-1.12943194876647,-0.784296352611493,-0.579734977915185,26,1,-75,0.11390675536003,14.1111111111111
291,-1.12305481599664,-0.503707763044572,-1.1543740743163,-1.12305481599664,-0.503707763044572,-1.1543740743163,27,0,55,0.0693779693951819,0
263,-1.09999548807066,-1.28418655772167,-0.781918956046153,-1.09999548807066,-1.28418655772167,-0.781918956046153,32,0,-10,0.0975982835310931,4.94444444444444
366,-0.825978692215856,-1.13273771834027,-0.138481838774661,-1.0629563278987,-1.08507809620255,-0.126582218147041,26,0,100,0.0867290411374492,0.555555555555556
366,-1.29993396358154,-1.03741847406482,-0.11468259751942,-1.0629563278987,-1.08507809620255,-0.126582218147041,29,0,100,0.0760046828743906,1.77777777777778
4,-1.04504438116085,-1.31381151777412,-1.21413032695705,-1.04504438116085,-1.31381151777412,-1.21413032695705,24,0,90,0.0827007756994642,11.7777777777778
111,-1.02349263404469,-1.08820623560736,-0.283061540170435,-1.02349263404469,-1.08820623560736,-0.283061540170435,27,1,60,0.0916268432455607,1.77777777777778
163,-1.91893238838924,-1.42369120770084,-0.768064610264292,-1.01576481498794,-1.35165142989766,-0.303663690581054,29,0,100,0.0870081593831391,1.11111111111111
163,-0.112597241586635,-1.27961165209449,0.160737229102184,-1.01576481498794,-1.35165142989766,-0.303663690581054,26,0,70,0.068475112561493,4.5
359,-1.01498025067127,-0.539413921902087,-0.0056333829795605,-1.01498025067127,-0.539413921902087,-0.0056333829795605,32,1,65,0.0663155848676333,1.05555555555556
37,-0.482656408535016,0.0960801385805943,-1.40137982085268,-1.01047049018522,-0.689395702453078,-1.56648818620946,23,0,80,0.0769337835465744,3.44444444444444
37,-1.53828457183542,-1.47487154348675,-1.73159655156625,-1.01047049018522,-0.689395702453078,-1.56648818620946,25,0,-100,0.0853743457337193,0.166666666666667
334,-0.995248914252878,-0.692263126103945,0.287501112011598,-0.995248914252878,-0.692263126103945,0.287501112011598,35,0,100,0.0683987200008527,25.2777777777778
60,-0.954079061386555,-0.595673650704773,-1.0798063086989,-0.954079061386555,-0.595673650704773,-1.0798063086989,26,0,90,0.105865258039048,7.38888888888889
200,-0.785036902097396,-0.954408163968575,-1.48918706848915,-0.946889061952064,-0.851665549104141,-0.950283910995276,29,0,100,0.0830204937794168,2.77777777777778
200,-1.54331152182253,-1.22325249197092,-1.01517074885194,-0.946889061952064,-0.851665549104141,-0.950283910995276,31,0,100,0.0934885246282247,0.555555555555556
200,-0.512318761936265,-0.377335991372929,-0.346493915644739,-0.946889061952064,-0.851665549104141,-0.950283910995276,33,0,70,0.062719931941637,2.5
304,-1.73312321455264,-1.51397432796798,-1.07950067291401,-0.944996173448216,-0.968645024355758,-1.0018217724689,33,1,70,0.0749983138347531,0
304,-0.156869132343792,-0.423315720743537,-0.924142872023786,-0.944996173448216,-0.968645024355758,-1.0018217724689,31,0,100,0.110924827087871,2.22222222222222
